ACR,ANS,Category,Hint
DILLBBTFTY?,"Do I look like boo boo the fool to you	",Black Twitter,often used in black communities when talking about someone who is being an idiot � or referring to yourself as not being it.
"ANHTSYO","Ain't nobody here to see you Otis","TV + Film",The Iconic Line From 'The Temptaions' movie (1998)
"WYTYTT?",Who you think you talkin to,Daily Sayings,"often uses to respond to an aggressive person"
"NTMNTMNTM","Never too much never too much never too much",Songs + Lyrics,Written by Luther Vandross number 1 in R&B in 1981 
"ROATSH","Reach out and touch somebody's hand",Songs + Lyrics,Written by Diana Ross' debut solo single released in April 1970
"YTHTBE?","You told Harpo to beat me","TV + Film","	Line from the 1985 Movie 'The Color Purple'"
"YGEYC?",You gon eat yo cornbread,"TV + Film",The Infamous Line from the film Life(1999)
"TBG","That boy good! Coming to America",TV + Film,A praise from the movie Coming to America (1988)
"STTYNASN",Somebody turn to your neighbor and say neighbor,"Church",Black Pastor often says this line to have people in the church to praise each other
"PJUTGBD","PUNKS JUMP UP TO GET BEAT DOWN","Songs + Lyrics",A song by the American hip hop group Brand Nubian included on their 1993 album In God We Trust. 
"TATLITPWSG",TO ALL THE LADIES IN THE PLACE WITH STYLIN GRACE BIGGIE,"Songs + Lyrics",Lyrics from the song Big Poppa the Notorious B.I.G.
"IIWI?LMWIIPMTDFIARI","IS IT WORTH IT? LET ME WORK IT I PUT MY THANG DOWN FLIP IT AND REVERSE IT","Songs + Lyrics",Lyrcis from Work It by Missy Elliott
"IGSWIMKICHS","I get so weak in my knees I can hardly speak	",Songs + Lyrics,lyrics from the SWV song weak(1992)
"IIABJTALTRR!",It's in a book just take a look the reading rainbow!,"TV + Film",Lyrics from reading rainbow theme
"GYLGWYBTAU!",Girl ya look good won't you back that a** up. Juvenile,Songs + Lyrics,Lyrics from Juvenoles song Back that a** up
"YGDWBFY","You gotta do what's best for you	","Words to live by	",A way of saying taking care yourself
"YLJLYM","You look just like your mom	","Family + Friends	",Often a complement from a family memebers looking similar to a parent
"YCFM","You could've fooled me	",Daily Sayings,used to say that something seems very surprising or doubtful based on one's own observations
ANGTFT,"Ain't nobody got time for that	","Black Twitter",A meme started in 2012 where you have no patience
"YMLMGI","Your my latest my greatest inspiration","Songs + Lyrics","Title of Teddy Oendergrass second song in his album ""It's time for love"""
"BCGMSN","Baby come give me something new.",Songs + Lyrics,"Lyrics from Wiz Khalifia and Ty Dolla $ign song ""Something New"""
"INOUGSIO",It's not over until god says it's over,Songs + Lyrics,This is something a pastor may say to you in your time of struggle to encourage you.
"YGMM?","You got McDonald's money",Family + Friends,"Asking for a meal with no income"
"WWGITSDTN","When we get in this store don't touch nothin",Family + Friends,What your mother would say to you in the car before you entered the store with her.
"OOSOOM","Out of sight out of mind",Daily Sayings,?
"YFCN",Your fav could never,"Black Twitter",?
"IBAHF","I'm blessed and highly favored","Songs + Lyrics",?
"TMHTD","Teach me how to dougie","Songs + Lyrics",?
"ANSY","Ain't nobody studying you",Daily Sayings,?
"YJUAYWGBD","You jump up and you will get beat down","Songs + Lyrics",?
"TIWISLWDC",This is what it sounds like when doves cry,"Songs + Lyrics",?
"BILG","Before I let go..Frankie Beverly",Songs + Lyrics,?
"SILIBAIP","Say it loud I'm black and I'm proud",Songs + Lyrics,?
"GIGATTATTGIG","God is good all the time all the time god is good",Church,?
"AUITKADKTF	","All up in the kool-aid and don't know the flavor	",Black Twitter,?
YCGTH,You can get these hands,Black Twitter,?
GYKIIILY,Girl you know I I I love you,Songs + Lyrics,?
HWMUTMSMOMW,He woke me up this morning started me on my way.,Church,?
CN,COVID 19,Family + Friends,?
GYBAITGDHRNBIBYMFA,Get yo black ass in the goddam house right now befor I beat your m f ass,Family + Friends,?
YLJLYDD,You look just like yo damn daddy,Family + Friends,?
YESYAIOO,You either stay yo ass inside or out,Family + Friends,?
HMNCWYWIBHBTROT,He may not come when you want it but he'll be there right on time,Church,?
LTCSA,Let the church say amen,Church,?
TLIMSHKWIW,The lord is my Shepard,Tv + Film,?
WHDI!,Won't he do it,Songs + Lyrics,?
IDFWY,I don't f*** with you,Songs + Lyrics,?
IATGD,It's about to go down,Songs + Lyrics,?
IYDKYDK,If you don't know you don't know,Songs + Lyrics,?
TTNBC,'Twas the night before Christmas,Words to live by,?
IDGAFWABGTSAM,I don't give a f** what a b*** got to say about me,Black Twitter,?
IIHAPEYST,If I had a penny everytime you said that,Daily Sayings,?
ADAD,Another day another dollar,Words to live by,?
BIITEOTB,Beauty is in the eye of the beholder,Words to live by,?
BLTN,Better late than never,Words to live by,?
BLM,Black Lives Matter,Black Twitter,?
BSTS,Better safe than sorry,Words to live by,?
YBBHBTSLCO,You better be home before the street lights come on,Family + Friends,?
HBTY,Happy birthday to you,Family + Friends,?
TEBGTWF,The early bird gets the worm first,Words to live by,?
BITTW,Blood is thicker than water,Words to live by,?
BBP,Business before pleasure,Words to live by,?
CYB,Count your blessings,Words to live by,?
WHPH,Work hard play hard,Words to live by,?
MSMD,Monkey see monkey do,Words to live by,?
DNCYCBTAH,Do not count your chickens before they are hatched,Words to live by,?
WDTCCTR,Why did the chicken cross the road,Daily Sayings,?
DPAYEIOB,Don't put all your eggs in one basket,Words to live by,?
ITGDFYMQ,If the glove don't fit you must a quit,Words to live by,?
ISTSBIDSTD,I shot the sheriff but I didn't shoot the deputy,Songs + Lyrics,?
EDHHD,Every dog has his day,Words to live by,?
APWATW,A picture worth a thousand words,Words to live by,?
FIUYMI,Fake it until you make it,Words to live by,?
FCFS,First come first served,Words to live by,?
WTHYKLTP,Why the hell you knockin like the police,Family + Friends,?
GCWCID,Give credit where credit is due,Words to live by,?
GTCTTWW,Good things comes to those who wait,Words to live by,?
NILMDTSIPTLMSTK,Now I lay me down to sleep I pray the lord my soul will keep,Church,?
GMTA,Great minds think alike,Words to live by,?
HIWTHI,Home is where the heart is,Words to live by,?
IIABDFI,If it ain't broke don't fix it,Words to live by,?
IIBTGTR,It is better to give than to receive,Words to live by,?
DCOSM,Don't cry over spilled milk,Words to live by,?
WIRIP,When it rains it pours,Words to live by,?
IIWII,It is what it is,Words to live by,?
KYHU,Keep your head up,Words to live by,?
KTBWOS,Kill two birds with one stone,Words to live by,?
LITBM,Laughter is the best medicine.,Words to live by,?
LJLBBB,Let's just let bygones be bygones,Words to live by,?
IGTCOTB,I guess the cats out the back,Words to live by,?
LILABOC,Life is like a box of chocolate,TV + Film,?
DSFDF,Different strokes for different folks,Words to live by,?
LLSS,Loose lips sink ships,Words to live by,?
MMTWGA,Money makes the world go around,Words to live by,?
ISTHHTHTHTTHHHYDS,I said the hip hop the hippy the hippy to the hip hip hop ya don't stop,Songs + Lyrics,?
NJABBIC,Never judge a book by its cover,Words to live by,?
NLAAGHEBAGHF,Neve look at a glass half empty but a glass half full,Words to live by,?
NGNG,No guts no glory,Words to live by,?
NPNG,No pain no gain,Words to live by,?
OMTIAMT,One man's trash is another man's treasure.,Words to live by,?
IGYSTCA,I'll give you something to cry about!,Family + Friends,?
PWLIGHSTS,people who live in glass houses shouldn't throw stones,Words to live by,?
YPTTC,You preaching to the choir,Daily Sayings,?
IOEAOTO,in one ear and out the other,Daily Sayings,?
PYBFF,Put your best foot forward,Words to live by,?
PYMWYMI,Put your money where your mouth is,Daily Sayings,?
MDGOT,Money don't grow on trees,Words to live by,?
NIMH!,Not in my house,Family + Friends,?
TANBTD!,That ain't nothing but the devil,Church,?
SOGFB,Stay out grown folks business,Daily Sayings,?
LAG,Look at God,Church,?
WHDI,Won't he do it,Songs + Lyrics,?
WMT?,Who made this?,Songs + Lyrics,?
ICS,I called shotgun,Daily Sayings,?
TPCTKB,The pot calling the kettle black,Daily Sayings,?
TIMTOWTSAC,There is more than one way to skin a cat,Words to live by,?
TINPLH,There is no place like home,Daily Sayings,?
TIM,Time is money,Daily Sayings,?
OTWT,Only time will tell,Daily Sayings,?
TMG,That's my Grandbaby,Family + Friends,?
TWDMAR,Two wrongs don't make a right,Words to live by,?
BYH,Bless your heart,Daily Sayings,?
WGACBA,What goes around comes back around,Words to live by,?
BIITEOTB,Beauty's in the eye of the beholder,Words to live by,?
WLGYLYML,when life gives you lemons,Words to live by,?
SYTYG,So you think you grown,Family + Friends,?
SIACP,Stay in a child's place,Family + Friends,?
GDLU!,God don't like ugly,Songs + Lyrics,?
INOOYLF,I'm not one of your little friends,Family + Friends,?
AHHMASA,A hard head makes a soft a**,Family + Friends,?
FOACYT,First of all check your tone,Family + Friends,?
SATCBIGYSTCA,Stop all that crying before I give you something to cry about,Family + Friends,?
IHYKTSWLYKTS,I hope you know that school work like you know them songs,Family + Friends,?
KPASWH,Keep playing and see what happens,Daily Sayings,?
DITY!,Didn't I tell you!....,Family + Friends,?
DLYMWACTYACC,Don't let your mouth write a check you�re a** can't cash,Family + Friends,?
YSLO,You smell like outside,Daily Sayings,?
IBYITWAICTYO,I brought you in this world and I can take you out,Family + Friends,?
GSYADS!,Go sit your ass down somewhere!,Black Twitter,?
AHDWH,A hit dog will holla,Words to live by,?
IIQLADIAD,If IT QUACKS LIKE A DUCK ITS A DUCK,Words to live by,?
YAITKADKTF,YOU ALL IN THE KOOL-AID DON'T KNOW THE FLAVOR,Words to live by,?
TIAABCSCYWOOI,THIS IS AN A AND B CONVERSATION SO C YOUR WAY OUT OF IT,Black Twitter,?
BYLYSS,Beat you like you stole something,Words to live by,?
YDT,You did that,Daily Sayings,?
GGMAS,Go get me a switch,Black Twitter,?
DLMAO,Don't let my air out,Black Twitter,?
STBOY,Slap the black off you,Black Twitter,?
YDPNB,You Don't Pay no bills,Family + Friends,?
NBB,Narrow Black Behind,Black Twitter,?
WIMB,Where is my belt,Family + Friends,?
YBFYF,You betta fix yo face,Black Twitter,?
GTB!!!,Go to bed,Family + Friends,?
IBYITWITYO,I Brought you in to this world,Family + Friends,?
TMH,THIS MY HOUSE,Family + Friends,?
PWGDPWM,Play with God Don't Play With ME,Words to Live By, Something you would say when someone tests your patience
